0xa8e0  ꣠     COMBINING DEVANAGARI DIGIT ZERO
0xa8e1  ꣡     COMBINING DEVANAGARI DIGIT ONE
0xa8e2  ꣢     COMBINING DEVANAGARI DIGIT TWO
0xa8e3  ꣣     COMBINING DEVANAGARI DIGIT THREE
0xa8e4  ꣤     COMBINING DEVANAGARI DIGIT FOUR
0xa8e5  ꣥     COMBINING DEVANAGARI DIGIT FIVE
0xa8e6  ꣦     COMBINING DEVANAGARI DIGIT SIX
0xa8e7  ꣧     COMBINING DEVANAGARI DIGIT SEVEN
0xa8e8  ꣨     COMBINING DEVANAGARI DIGIT EIGHT
0xa8e9  ꣩     COMBINING DEVANAGARI DIGIT NINE
0xa8ea  ꣪     COMBINING DEVANAGARI LETTER A
0xa8eb  ꣫     COMBINING DEVANAGARI LETTER U
0xa8ec  ꣬     COMBINING DEVANAGARI LETTER KA
0xa8ed  ꣭     COMBINING DEVANAGARI LETTER NA
0xa8ee  ꣮     COMBINING DEVANAGARI LETTER PA
0xa8ef  ꣯     COMBINING DEVANAGARI LETTER RA
0xa8f0  ꣰     COMBINING DEVANAGARI LETTER VI
0xa8f1  ꣱     COMBINING DEVANAGARI SIGN AVAGRAHA
